family,gold_role,prob_pair_mean,prob_pair_std,delta_pair_mean,delta_pair_std
CLIP,emo_cause,0.4529836236162506,0.0672145529364706,0.1226921025393665,0.085092208067813
CLIP,emo_context,0.4427263096861718,0.0672917437464395,0.1064996674621994,0.0878601646149488
CLIP,non_pair,0.4344321517277595,0.0710436192474725,0.1043710879379295,0.0864773117047752
RoBERTa,emo_cause,0.3956949348668406,0.038260983259741,0.3874919074161403,0.0354289908434682
RoBERTa,emo_context,0.1035223793121168,0.0366510667644414,0.0956347646520684,0.0334941417208525
RoBERTa,non_pair,0.0840805318411315,0.0257747602241337,0.0758331504074855,0.0222554240409371
RC-Fusion,emo_cause,0.4025755585878383,0.0132294598601833,0.3919934146685291,0.0090757151476435
RC-Fusion,emo_context,0.1150176676060438,0.0104728360785046,0.1026223274823188,0.0037759417259589
RC-Fusion,non_pair,0.083396088837174,0.0129031517402117,0.0715960526122926,0.0064387212972335
RW-Fusion,emo_cause,0.4006018167847893,0.0196498960500419,0.3743745614130639,0.0247833231590606
RW-Fusion,emo_context,0.1129923567113599,0.0194264484404736,0.0875272579040938,0.0082527142424377
RW-Fusion,non_pair,0.0879445000124754,0.0209788269451834,0.0613985207860402,0.0098195065224015
RWC-Fusion,emo_cause,0.4044487382762054,0.0115222078736267,0.3721710287707853,0.0232165490491297
RWC-Fusion,emo_context,0.1181921082537091,0.0259634797821109,0.0851678890466815,0.0051924298586881
RWC-Fusion,non_pair,0.0885395695258853,0.0218661560191139,0.0578796614326,0.0092557928364141
WavLM,emo_cause,0.3549728184842911,0.0115209452526029,0.0113476275122717,0.0682068025900274
WavLM,emo_context,0.2483014768140221,0.0094208895105634,-0.0883980289301503,0.0662545664211032
WavLM,non_pair,0.1798172803164921,0.0072826173714097,-0.1545360597778265,0.0599536550192777
