family,gold_role,prob_emo_context_mean,prob_emo_context_std,delta_emo_context_after_removal_mean,delta_emo_context_after_removal_std
CLIP,emo_cause,0.2382670271960345,0.0419553097398546,-0.0756123160001337,0.11126237689123
CLIP,emo_context,0.2455719154949612,0.0429009228005519,-0.0711720257334906,0.105148474348776
CLIP,non_pair,0.2422296711969763,0.0452244603035529,-0.0702714996901983,0.1067564203930156
RoBERTa,emo_cause,0.1208316815640779,0.0410758475676821,0.0870171028823686,0.0099462218421115
RoBERTa,emo_context,0.1951046963504508,0.0487107508187338,0.1624067430589575,0.0187929513151203
RoBERTa,non_pair,0.0922294663507266,0.0485731505070176,0.059927650228197,0.018138030543997
RC-Fusion,emo_cause,0.142248566262478,0.024101025780411,0.0810464460769082,0.0325523580539564
RC-Fusion,emo_context,0.2287008945867686,0.0628644995809134,0.1664034810125988,0.0341057577324223
RC-Fusion,non_pair,0.1176722040890345,0.0455435667447584,0.0591550450956015,0.0211198512814313
RW-Fusion,emo_cause,0.1255556394248412,0.0291722051366251,0.0979450159777885,0.0155783441459136
RW-Fusion,emo_context,0.2068397160489303,0.0514790362213528,0.1768336826133717,0.0251636973815806
RW-Fusion,non_pair,0.0962497618368187,0.0385194572618664,0.0715625679163322,0.0155119720723557
RWC-Fusion,emo_cause,0.1493712186924199,0.0330171091728027,0.0651900111746228,0.0770301689332269
RWC-Fusion,emo_context,0.2428723583859259,0.0507972609447719,0.1546005490831489,0.0795208772280718
RWC-Fusion,non_pair,0.1278208440697089,0.0443422989831111,0.0527096135737462,0.0510446696804016
WavLM,emo_cause,0.1345979028202479,0.0024408314080943,-0.0791634539909181,0.0578520035296293
WavLM,emo_context,0.1495007439150619,0.0042370608176262,-0.0745956672882379,0.0597002319619101
WavLM,non_pair,0.1106344708395207,0.0032361141750636,-0.086078568916041,0.0526336239209791
