split,metric_type,metric,count,pct_within_split_pairs
train,structure,raw_dialogues,96,
train,structure,chunks,260,
train,structure,utterances,4587,
train,pair_space,candidate_pairs,53323,1.0
train,pair_role,emo_cause,5499,0.10312623070719952
train,pair_role,emo_context,2630,0.04932205614837875
train,pair_role,non_pair,45194,0.8475517131444217
valid,structure,raw_dialogues,24,
valid,structure,chunks,68,
valid,structure,utterances,1223,
valid,pair_space,candidate_pairs,14488,1.0
valid,pair_role,emo_cause,1342,0.09262838210933186
valid,pair_role,emo_context,719,0.04962727774710105
valid,pair_role,non_pair,12427,0.857744340143567
test,structure,raw_dialogues,31,
test,structure,chunks,95,
test,structure,utterances,1623,
test,pair_space,candidate_pairs,18264,1.0
test,pair_role,emo_cause,1794,0.09822601839684625
test,pair_role,emo_context,997,0.05458826106000876
test,pair_role,non_pair,15473,0.847185720543145
overall,structure,raw_dialogues,151,
overall,structure,chunks,423,
overall,structure,utterances,7433,
overall,pair_space,candidate_pairs,86075,1.0
overall,pair_role,emo_cause,8635,0.10031948881789138
overall,pair_role,emo_context,4346,0.05049085100203311
overall,pair_role,non_pair,73094,0.8491896601800755
