split,label,distance_bucket,count,pct_within_split_label
test,emo_cause,0,520,0.2898550724637681
test,emo_cause,1,667,0.3717948717948718
test,emo_cause,2,261,0.1454849498327759
test,emo_cause,3,141,0.07859531772575251
test,emo_cause,4-5,109,0.06075808249721293
test,emo_cause,6-10,69,0.038461538461538464
test,emo_cause,>10,27,0.015050167224080268
test,emo_context,1,81,0.08124373119358075
test,emo_context,2,203,0.20361083249749248
test,emo_context,3,183,0.18355065195586762
test,emo_context,4-5,293,0.2938816449348044
test,emo_context,6-10,194,0.1945837512537613
test,emo_context,>10,43,0.04312938816449348
test,non_pair,0,1103,0.07128546500355458
test,non_pair,1,795,0.05137982291733988
test,non_pair,2,976,0.06307761907839463
test,non_pair,3,1018,0.0657920248174239
test,non_pair,4-5,1993,0.1288050151877464
test,non_pair,6-10,4055,0.26206941123246946
test,non_pair,>10,5533,0.35759064176307115
train,emo_cause,0,1859,0.3380614657210402
train,emo_cause,1,1936,0.3520640116384797
train,emo_cause,2,838,0.15239134388070558
train,emo_cause,3,368,0.06692125841062012
train,emo_cause,4-5,305,0.05546462993271504
train,emo_cause,6-10,148,0.02691398436079287
train,emo_cause,>10,45,0.008183306055646482
train,emo_context,1,201,0.07642585551330798
train,emo_context,2,715,0.2718631178707224
train,emo_context,3,571,0.2171102661596958
train,emo_context,4-5,636,0.24182509505703423
train,emo_context,6-10,368,0.1399239543726236
train,emo_context,>10,139,0.05285171102661597
train,non_pair,0,2728,0.060361994955082536
train,non_pair,1,2221,0.04914369164048325
train,non_pair,2,2541,0.05622427755896801
train,non_pair,3,2887,0.06388016108332964
train,non_pair,4-5,5923,0.13105721998495376
train,non_pair,6-10,12050,0.2666283134929415
train,non_pair,>10,16844,0.3727043412842413
valid,emo_cause,0,415,0.30923994038748137
valid,emo_cause,1,478,0.3561847988077496
valid,emo_cause,2,214,0.15946348733233978
valid,emo_cause,3,101,0.07526080476900149
valid,emo_cause,4-5,81,0.06035767511177347
valid,emo_cause,6-10,46,0.03427719821162444
valid,emo_cause,>10,7,0.005216095380029807
valid,emo_context,1,59,0.08205841446453407
valid,emo_context,2,116,0.16133518776077885
valid,emo_context,3,122,0.16968011126564672
valid,emo_context,4-5,187,0.26008344923504867
valid,emo_context,6-10,171,0.23783031988873435
valid,emo_context,>10,64,0.0890125173852573
valid,non_pair,0,808,0.06501971513639655
valid,non_pair,1,622,0.05005230546390923
valid,non_pair,2,766,0.06163997746841555
valid,non_pair,3,801,0.06445642552506639
valid,non_pair,4-5,1574,0.1266596926048121
valid,non_pair,6-10,3188,0.2565381829886537
valid,non_pair,>10,4668,0.37563370081274644
