source,family,final_gold,n,runs,delta_prob_pair_mean,delta_prob_pair_std,retention_prob_pair_mean,full_pred_pair_rate,pred_pair_retained_after_removal_rate_over_all,pred_pair_retained_after_removal_rate_given_full_pred,delta_prob_context_mean,delta_prob_context_std,retention_prob_context_mean,full_pred_context_rate,pred_context_retained_after_removal_rate_over_all,pred_context_retained_after_removal_rate_given_full_pred
binary,RoBERTa,emo_cause,5382,3,0.3874919074161403,0.425652911463117,0.3792742448654214,0.3851727982162765,0.0,0.0,,,,,,
binary,RoBERTa,emo_context,2991,3,0.0956347646520683,0.2320917845206458,0.6648472178650695,0.0732196589769308,0.0,0.0,,,,,,
binary,RoBERTa,non_pair,46419,3,0.0758331504074855,0.2183092194434501,0.8462837808267916,0.062754475538034,0.0,0.0,,,,,,
binary,RC-Fusion,emo_cause,5382,3,0.3919934146685291,0.4357045292116812,0.3606049727136995,0.3872166480862133,0.0011148272017837,0.0028790786948176,,,,,,
binary,RC-Fusion,emo_context,2991,3,0.1026223274823188,0.254144075983913,0.6625421567668807,0.0912738214643931,0.0020060180541624,0.0219780219780219,,,,,,
binary,RC-Fusion,non_pair,46419,3,0.0715960526122926,0.2215163985790738,0.8325069044335724,0.064003963894095,0.0017449751179473,0.0272635476270615,,,,,,
binary,RW-Fusion,emo_cause,5382,3,0.3743745614130639,0.4153631345451284,0.4758185916077633,0.3821999256781865,0.0013006317354143,0.0034030140982012,,,,,,
binary,RW-Fusion,emo_context,2991,3,0.0875272579040939,0.2199957267752599,1.0283404959947973,0.0695419592109662,0.001671681711802,0.0240384615384615,,,,,,
binary,RW-Fusion,non_pair,46419,3,0.0613985207860402,0.2072106750757331,2.640187578042826,0.0607078997824166,0.0017880609233288,0.0294535131298793,,,,,,
binary,RWC-Fusion,emo_cause,5382,3,0.3721710334829128,0.4383700727439746,1.1478786113288262,0.3905611296915645,0.0031586770717205,0.0080875356803044,,,,,,
binary,RWC-Fusion,emo_context,2991,3,0.0851678781868489,0.2486269091868573,1.9429029718148452,0.0855901036442661,0.0033433634236041,0.0390625,,,,,,
binary,RWC-Fusion,non_pair,46419,3,0.057879660484408,0.2248128596772995,4.002967099182023,0.0662444257739287,0.0019819470475451,0.0299186991869918,,,,,,
three_class,RoBERTa,emo_cause,5382,3,,,,,,,0.0870171028823686,0.1762228967519188,3.51047026043982,0.0912300260126347,0.0007432181345224,0.0081466395112016
three_class,RoBERTa,emo_context,2991,3,,,,,,,0.1624067430589575,0.2207473502330976,0.9127391993929828,0.1825476429287863,0.0010030090270812,0.0054945054945054
three_class,RoBERTa,non_pair,46419,3,,,,,,,0.059927650228197,0.1386723061262011,1.5244592855690169,0.0498718197289902,0.000883259010319,0.0177105831533477
three_class,RC-Fusion,emo_cause,5382,3,,,,,,,0.0810464460769082,0.2066383480054147,6.616064937266198,0.1176142697881828,0.0026012634708286,0.0221169036334913
three_class,RC-Fusion,emo_context,2991,3,,,,,,,0.1664034810125988,0.2368533102056684,0.7387493353879416,0.2133065864259445,0.0023403543965229,0.0109717868338558
three_class,RC-Fusion,non_pair,46419,3,,,,,,,0.0591550450956015,0.1587427061734052,1.6452073087693928,0.0719963807923479,0.0014864602856588,0.0206463195691202
three_class,RW-Fusion,emo_cause,5382,3,,,,,,,0.0979450159777885,0.1895034251608022,5.096154729324469,0.0947603121516165,0.0001858045336306,0.0019607843137254
three_class,RW-Fusion,emo_context,2991,3,,,,,,,0.1768336826133717,0.2320481629347434,0.4942034766455516,0.1939150785690404,0.0020060180541624,0.0103448275862068
three_class,RW-Fusion,non_pair,46419,3,,,,,,,0.0715625679163322,0.1567836827900844,1.4201971055649876,0.0640470496994765,0.0006893728861026,0.0107635385132862
three_class,RWC-Fusion,emo_cause,5382,3,,,,,,,0.0651900111746228,0.2160057526536414,9.362286065682428,0.1129691564474173,0.0055741360089186,0.0493421052631578
three_class,RWC-Fusion,emo_context,2991,3,,,,,,,0.1546005490831489,0.2348745211351728,0.8379753341510539,0.2133065864259445,0.0147107990638582,0.0689655172413793
three_class,RWC-Fusion,non_pair,46419,3,,,,,,,0.0527096135737463,0.1662556613399911,2.1366205227416617,0.0707038066309054,0.0049333247161722,0.0697745277269957
