model_family,family,modality,runs,pair_role_macro_precision_mean,pair_role_macro_precision_std,pair_role_macro_recall_mean,pair_role_macro_recall_std,pair_role_macro_f1_mean,pair_role_macro_f1_std,pair_role_accuracy_mean,pair_role_accuracy_std,pair_role_emo_cause_precision_mean,pair_role_emo_cause_precision_std,pair_role_emo_cause_recall_mean,pair_role_emo_cause_recall_std,pair_role_emo_cause_f1_mean,pair_role_emo_cause_f1_std,pair_role_emo_context_precision_mean,pair_role_emo_context_precision_std,pair_role_emo_context_recall_mean,pair_role_emo_context_recall_std,pair_role_emo_context_f1_mean,pair_role_emo_context_f1_std,pair_role_non_pair_precision_mean,pair_role_non_pair_precision_std,pair_role_non_pair_recall_mean,pair_role_non_pair_recall_std,pair_role_non_pair_f1_mean,pair_role_non_pair_f1_std,pair_f1_mean,pair_f1_std,emotion_f1_mean,emotion_f1_std,cause_f1_mean,cause_f1_std,gold_context_pred_as_cause_rate_mean,gold_context_pred_as_cause_rate_std,gold_context_pred_as_non_pair_rate_mean,gold_context_pred_as_non_pair_rate_std
RC-Fusion,RC-Fusion,tv,3,0.47764897948600765,0.004291375982927262,0.4982741393565897,0.01740335981155029,0.4837875449586188,0.006257371847918004,0.7811541830924221,0.01821325887013502,0.39969492209977675,0.022518054922428653,0.42214790040877004,0.019295065010400857,0.4097940571221563,0.010727907787496476,0.13606778546292167,0.01214531100089622,0.2133065864259445,0.06469904958567374,0.1639748313159858,0.028037620340069035,0.8971842308953244,0.0038599019628914213,0.8593679312350546,0.026861451356303617,0.8775937464377144,0.01228533296910209,0.4097940571221563,0.010727907787496478,0.8322822554779737,0.009216447840356851,0.7744359099718386,0.008333840826839805,0.08425275827482448,0.012870863627495926,0.702440655299231,0.07349774451630071
RW-Fusion,RW-Fusion,ta,3,0.4773731238130678,0.003942314406679741,0.4983287406505854,0.00410533325266938,0.48542524045637064,0.0025641456276182875,0.7846948459629143,0.005698705919259577,0.39275046645299105,0.02132303661202281,0.43812709030100333,0.015224637997489023,0.4136685143405336,0.011486182136185184,0.14333918693920603,0.011553723243024892,0.19391507856904044,0.03441878572151437,0.16344673486953945,0.01695520980688646,0.8960297180470062,0.0002907029709752048,0.8629440530817122,0.007179768241834647,0.879160472159039,0.003715412269093906,0.4136685143405336,0.011486182136185207,0.8295403736933226,0.007950564737645034,0.778207465684587,0.0012760850687607915,0.09261116683383484,0.01779850438543118,0.7134737545971248,0.02847949105857151
RWC-Fusion,RWC-Fusion,tav,3,0.47436050475732694,0.006510507224519375,0.5026840339805739,0.012428342984933364,0.48409883560314254,0.004968353917879294,0.7760804497006863,0.0067631120299144224,0.3829163475564737,0.030369621201379406,0.4438870308435526,0.03269737481599246,0.4088510587055511,0.006286237503569757,0.14142770562803478,0.014843608080631258,0.2133065864259445,0.03002705198170204,0.1693767843041427,0.017372057665771524,0.8987374610874724,0.0033007981713528375,0.8508584846722247,0.012637001347646845,0.8740686637997338,0.0051961136821728595,0.40885105870555116,0.006286237503569743,0.8340982434720917,0.008551095784277239,0.7725653201608554,0.012731322399277063,0.09528585757271817,0.016358582176830585,0.6914075560013373,0.028100169026346662
CLIP,CLIP,v,3,0.34633682109383274,0.002738840034524277,0.3576881391183508,0.0033307990867761494,0.3018594337882156,0.013237141219256822,0.5126478318002629,0.036118434502552796,0.11726590336213888,0.005325390742519555,0.44723151244890375,0.05626166187303556,0.18495453143859586,0.002249317943861964,0.061723173915300876,0.013529622804699186,0.07756603142761619,0.061668517343585263,0.05201714778699661,0.020217840157242727,0.8600213860040583,0.001177833217964268,0.5482668734785325,0.04526545787383093,0.6686066221390542,0.033554035028848364,0.18495453143859586,0.002249317943861947,0.7629423057907029,0.018215172769877337,0.6272494545591824,0.011675112510857469,0.3948512203276497,0.0543252833670039,0.5275827482447343,0.03975088986346197
hilo,hilo_t,t,3,0.5056906091478183,0.004531483966444574,0.557479718458951,0.006742084838334591,0.5250453699528258,0.002145659991095779,0.8050983834393972,0.007990008466117368,0.4303565955388457,0.017055542488451956,0.6146304675716441,0.032929801861053015,0.5053335400641693,0.009518173379275635,0.16584631221052204,0.0033380327893836196,0.19182708544410673,0.019617069546042018,0.17727808850437862,0.007628939803149508,0.9208689196940871,0.002529256320051142,0.8659816023611021,0.011805471362576592,0.8925244812899297,0.005289990035583359,0.5021336240655933,0.009738907886996813,0.8614076879621795,0.007928904317003356,0.7662970976175366,0.002075812603442263,0.17933130699088143,0.022212878963060245,0.628841607565012,0.02252392029791703
hilo,hilo_ta,ta,3,0.5158115858671594,0.009468277902222128,0.5519775002974047,0.021178135124992985,0.5298444647120298,0.008007114053422158,0.8125045717211616,0.013223908731331478,0.4659654810939631,0.031100118291120783,0.57579185520362,0.03806299142262889,0.5128695237054566,0.004413664021774445,0.16437898943086926,0.012566920154228644,0.2016210739614995,0.05027208198603963,0.17951183675855054,0.026735825667306423,0.9170902870766455,0.0066254214765181845,0.8785195717270945,0.022565344775222304,0.8971520336720826,0.008640634287722182,0.5100026091599594,0.004466308943684197,0.8737763286752166,0.007383274617155165,0.7742329633519494,0.009261718107034514,0.1469098277608916,0.029723526816194695,0.6514690982776089,0.0761610094850655
hilo,hilo_tav,tav,3,0.5115476259041453,0.0016233257357414644,0.5650731638855547,0.025990542032994054,0.5293644721874454,0.006122859230242874,0.7965584083095604,0.015543701350778814,0.44616561384495546,0.020458879876642227,0.5903092006033183,0.05264807914398086,0.5059587640158977,0.006864914328224355,0.16803375941374724,0.016753565391349468,0.24991556906450527,0.06495016747939923,0.19598667527363833,0.02061739926105597,0.9204435044537331,0.009543675600460523,0.8549947219888407,0.026002346016673485,0.8861479772728003,0.009921009585256395,0.5030392726534135,0.00675284498698963,0.8679157124225169,0.01157289617750429,0.7734755194866666,0.013428056028855374,0.14251941911516378,0.008161463001414775,0.607565011820331,0.07180581783163481
hilo,hilo_tv,tv,3,0.5160146721322646,0.008656238965738474,0.5283648381925897,0.010222536297252236,0.5184778894779624,0.00615749393502685,0.8210262599663521,0.011080071546373317,0.45106657450750065,0.012386614316725409,0.5269607843137255,0.003340883323278523,0.4859384384691639,0.0060830535512176685,0.18811822958378466,0.028860338781293952,0.16143194866599123,0.04713394311755489,0.16686134490504154,0.016433897379232464,0.9088592123055084,0.0036167022220770307,0.8967017815980526,0.015806472679087337,0.9026338850596818,0.0062791428881250584,0.48253806673486954,0.005673582999185437,0.8627259925729972,0.008021926730587565,0.7386366764633463,0.0049868187162089095,0.14657210401891255,0.0034441199011096125,0.6919959473150962,0.0480019384791682
m3hg,m3hg_t,t,3,0.5494163975655393,0.0038310233875774565,0.6347673516450238,0.007732013403687018,0.5784356735220201,0.001075801472313502,0.808785954153891,0.005192227526968568,0.49374924717661983,0.016128756760515357,0.6573764399851356,0.019019342690849764,0.5634179482427388,0.0041398144369895595,0.21413126995808782,0.0017237802470363656,0.39384821130056835,0.017570957329951075,0.27733371239745874,0.005687904970097376,0.9403686755619102,0.003083652552865443,0.8530774036493677,0.009104215212155839,0.8945553599258629,0.003619002629018113,0.5634179482427388,0.004139814436989609,0.8787162146794653,0.010413396022537992,0.7968842657404229,0.005674753910673415,0.12704781009695754,0.027435958861823657,0.47910397860247417,0.03373982162900131
m3hg,m3hg_ta,ta,3,0.5572585807134924,0.00480025621769826,0.6161246223589436,0.010882924959869197,0.5795457993063188,0.0007102564280837077,0.8224375821287779,0.009077146371662632,0.5143789834681942,0.008205055041977917,0.6328502415458938,0.01634235111653366,0.5672552459004429,0.0017612602281786337,0.22490657397875002,0.015328331712329463,0.34002006018054165,0.042467296393852515,0.2683844284034406,0.0032527285370522623,0.9324901846935331,0.004808784115286737,0.8755035653503954,0.014043560335096735,0.9029977236150725,0.00517578253730259,0.567255245900443,0.0017612602281786454,0.8685343079690361,0.014608831035945647,0.7974906225490889,0.0035669358166980467,0.10966232029421598,0.009057985412333049,0.5503176195252424,0.03863285008533408
