run_name,family,model_family,modality,seed,pair_role_macro_precision,pair_role_macro_recall,pair_role_macro_f1,pair_role_accuracy,pair_role_emo_cause_precision,pair_role_emo_cause_recall,pair_role_emo_cause_f1,pair_role_emo_context_precision,pair_role_emo_context_recall,pair_role_emo_context_f1,pair_role_non_pair_precision,pair_role_non_pair_recall,pair_role_non_pair_f1,pair_f1,emotion_f1,cause_f1,gold_context_pred_as_cause_rate,gold_context_pred_as_non_pair_rate
RC-Fusion_seed42,RC-Fusion,RC-Fusion,tv,42,0.48228597220842934,0.5058173488013825,0.4914723912513678,0.7847130968024529,0.403242147922999,0.443701226309922,0.42250530785562634,0.14510609171800137,0.21263791374122368,0.1724979658258747,0.8985096769842875,0.861112906353002,0.8794139000726025,0.42250530785562634,0.8395358143257303,0.7817522032141004,0.09829488465396188,0.6890672016048145
RC-Fusion_seed123,RC-Fusion,RC-Fusion,tv,123,0.47193967413439,0.5147914575368369,0.48374504375319144,0.7572820849759089,0.3705140640155189,0.4258639910813824,0.3962655601659751,0.14419753086419754,0.2928786359077232,0.19324950363997354,0.9011074275234535,0.8256317456214051,0.8617200674536256,0.3962655601659751,0.8380338436744562,0.7787798408488064,0.08726178535606821,0.6198595787362087
RC-Fusion_seed456,RC-Fusion,RC-Fusion,tv,456,0.4787212921152035,0.47421361173154963,0.47614519987129716,0.8014673674989049,0.4253285543608124,0.39687848383500557,0.41061130334486734,0.1188997338065661,0.13440320962888666,0.12617702448210924,0.8919355881782319,0.8913591417307568,0.8916472717869149,0.4106113033448674,0.819277108433735,0.7627756858526089,0.06720160481444333,0.79839518555667
RW-Fusion_seed42,RW-Fusion,RW-Fusion,ta,42,0.4826409900354969,0.49861063895670643,0.4876017522193985,0.7823587385019711,0.42286652078774617,0.43088071348940915,0.4268360022087245,0.12862547288776796,0.2046138415245737,0.15795586527293845,0.8964309764309765,0.8603373618561365,0.8780133891765327,0.42683600220872453,0.8386050283860503,0.7769477054429028,0.06920762286860582,0.7261785356068204
RW-Fusion_seed123,RW-Fusion,RW-Fusion,ta,123,0.47632031480154136,0.5032098470211092,0.4868488288392374,0.7791830924222515,0.37636003956478736,0.4241917502787068,0.39884696016771487,0.15684931506849314,0.2296890672016048,0.18640618640618642,0.8957515897713435,0.8557487235830156,0.875293339943811,0.39884696016771487,0.8192468619246863,0.7799564270152505,0.09628886659979939,0.6740220661985958
RW-Fusion_seed456,RW-Fusion,RW-Fusion,ta,456,0.47315806660216503,0.4931657359739405,0.4818251403104761,0.7925427069645203,0.37902483900643974,0.4593088071348941,0.4153225806451613,0.14454277286135694,0.14744232698094284,0.14597815292949354,0.8959065879386984,0.8727460738059846,0.8841746873567734,0.4153225806451613,0.8307692307692307,0.7777182645956079,0.1123370110330993,0.7402206619859579
RWC-Fusion_seed42,RWC-Fusion,RWC-Fusion,tav,42,0.4835631910401977,0.5036884617624243,0.48827251069713523,0.7766644765659221,0.41796875,0.4175027870680045,0.4177356385945343,0.13325930038867295,0.24072216649949849,0.17155110793423875,0.8994615227319201,0.85284043171977,0.8755307855626328,0.4177356385945343,0.8288942695722357,0.7795896896370332,0.0732196589769308,0.6860581745235708
RWC-Fusion_seed123,RWC-Fusion,RWC-Fusion,tav,123,0.46950820272468485,0.5173784943195584,0.48690711175628615,0.7675208059570741,0.3438967136150235,0.4899665551839465,0.40413793103448276,0.16225875625446748,0.22768304914744233,0.18948247078464106,0.9023691383045636,0.8344858786272863,0.8671009334497347,0.4041379310344828,0.8461538461538461,0.7834101382488479,0.1123370110330993,0.6599799398194583
RWC-Fusion_seed456,RWC-Fusion,RWC-Fusion,tav,456,0.47001012050709834,0.4869851458597392,0.47711688435600613,0.7840560665790627,0.3868835790543976,0.4241917502787068,0.4046796064876363,0.12876506024096385,0.1715145436308927,0.14709677419354839,0.8943817222259336,0.865249143669618,0.8795742723868339,0.4046796064876363,0.8272466146901929,0.7546961325966852,0.10030090270812438,0.728184553660983
CLIP_seed42,CLIP,CLIP,v,42,0.3459486658185438,0.36232179393668984,0.319155143374719,0.5619798510731494,0.11944796954314721,0.4197324414715719,0.1859718448999753,0.05673758865248227,0.05616850551654965,0.056451612903225805,0.8616604392600018,0.6110644348219479,0.7150419723209559,0.18597184489997529,0.7396006655574046,0.6257545271629779,0.362086258776329,0.5817452357071213
CLIP_seed123,CLIP,CLIP,v,123,0.34319340435488743,0.3546376455023366,0.2994145366695189,0.47651116951379763,0.12241735537190082,0.3963210702341137,0.18705603788476716,0.04821802935010482,0.16148445336008024,0.07426199261992619,0.8589448283426566,0.5061074129128159,0.6369255795038633,0.18705603788476716,0.7840505329648638,0.6137566137566137,0.3510531594784353,0.48746238716148443
CLIP_seed456,CLIP,CLIP,v,456,0.349868393108067,0.35610497791602597,0.2870086213204088,0.4994524748138414,0.10993238517136862,0.5256410256410257,0.1818357115310451,0.08021390374331551,0.015045135406218655,0.02533783783783784,0.8594588904095168,0.5276287727008337,0.6538523145923434,0.18183571153104514,0.7651757188498403,0.6422372227579556,0.47141424272818455,0.5135406218655968
hilo_t_seed42,hilo_t,hilo,t,42,0.5064864142217513,0.5506078257200827,0.5243173806397866,0.804366908053544,0.43970396168915976,0.5712669683257918,0.4969249692496925,0.16114109483423283,0.21175278622087132,0.1830122591943958,0.9186141861418614,0.868803722613585,0.8930149134752715,0.4933855952964234,0.8620408163265306,0.7649234020073956,0.14994934143870314,0.6382978723404256
hilo_t_seed123,hilo_t,hilo,t,123,0.4997857527232254,0.566639857312052,0.5228582258702411,0.7956989247311828,0.4064265536723164,0.6510180995475113,0.5004347826086957,0.16852966466036112,0.19858156028368795,0.18232558139534882,0.9244010398369985,0.850319912104957,0.8858143136066788,0.4972949578013417,0.8707865168539326,0.7692307692307693,0.20364741641337386,0.5977710233029382
hilo_t_seed456,hilo_t,hilo,t,456,0.5107996604984781,0.5551914723447181,0.5279605033484499,0.815229317533465,0.4449392712550607,0.621606334841629,0.5186408683341198,0.1678681771369722,0.1651469098277609,0.16649642492339123,0.9195915331034016,0.8788211723647644,0.8987442167878388,0.5157203190990146,0.8513957307060754,0.7647371216144451,0.18439716312056736,0.6504559270516718
hilo_ta_seed42,hilo_ta,hilo,ta,42,0.5171892717172771,0.579655768974427,0.5406513492464288,0.8010204081632653,0.44526748971193414,0.6119909502262444,0.5154835636017151,0.18113975576662145,0.270516717325228,0.21698496546119464,0.9251605696732756,0.8564596393718089,0.8894855186763768,0.5137963843958137,0.8728636932055023,0.7788813382122322,0.17325227963525835,0.5562310030395137
hilo_ta_seed123,hilo_ta,hilo,ta,123,0.5035880597681094,0.5480482193049633,0.5215119870759942,0.8054641211323239,0.4427061310782241,0.5921945701357466,0.5066537624001936,0.15088013411567477,0.182370820668693,0.1651376146788991,0.9171779141104295,0.8695792671104504,0.8927445841488902,0.5037322417529496,0.8652246256239601,0.7613038906414301,0.16210739614994935,0.6555217831813577
