split,original_binary_role,final_role,count,pct_within_original
overall,orig_non_pair,emo_cause,319,0.004146626803587677
overall,orig_non_pair,emo_context,3541,0.046028857402833745
overall,orig_non_pair,non_pair,73070,0.9498245157935786
overall,orig_pair,emo_cause,8316,0.9093493712411154
overall,orig_pair,emo_context,805,0.08802624384909787
overall,orig_pair,non_pair,24,0.002624384909786769
test,orig_non_pair,emo_cause,72,0.004391314954867041
test,orig_non_pair,emo_context,854,0.052085874603561844
test,orig_non_pair,non_pair,15470,0.9435228104415712
test,orig_pair,emo_cause,1722,0.9218415417558886
test,orig_pair,emo_context,143,0.07655246252676659
test,orig_pair,non_pair,3,0.0016059957173447537
train,orig_non_pair,emo_cause,202,0.0042520049676889726
train,orig_non_pair,emo_context,2124,0.04470920074936325
train,orig_non_pair,non_pair,45181,0.9510387942829478
train,orig_pair,emo_cause,5297,0.9107634112792297
train,orig_pair,emo_context,506,0.08700137551581844
train,orig_pair,non_pair,13,0.002235213204951857
valid,orig_non_pair,emo_cause,45,0.003454364013203347
valid,orig_non_pair,emo_context,563,0.043217931987410765
valid,orig_non_pair,non_pair,12419,0.9533277039993859
valid,orig_pair,emo_cause,1297,0.8877481177275839
valid,orig_pair,emo_context,156,0.10677618069815195
valid,orig_pair,non_pair,8,0.0054757015742642025
