model_family,family,modality,gold,pred,runs,count_mean,count_std,rate_within_gold_mean,rate_within_gold_std
RC-Fusion,RC-Fusion,tv,emo_cause,emo_cause,3,757.3333333333334,42.394968254892405,0.42214790040877,0.023631531914655748
RC-Fusion,RC-Fusion,tv,emo_cause,emo_context,3,211.0,33.18132004607411,0.11761426978818283,0.018495719089227487
RC-Fusion,RC-Fusion,tv,emo_cause,non_pair,3,825.6666666666666,45.9818804893116,0.4602378298030472,0.025630925579326398
RC-Fusion,RC-Fusion,tv,emo_context,emo_cause,3,84.0,15.716233645501712,0.08425275827482448,0.01576352421815618
RC-Fusion,RC-Fusion,tv,emo_context,emo_context,3,212.66666666666666,79.00210967647214,0.2133065864259445,0.07923982916396405
RC-Fusion,RC-Fusion,tv,emo_context,non_pair,3,700.3333333333334,89.74593769822303,0.702440655299231,0.09001598565518859
RC-Fusion,RC-Fusion,tv,non_pair,emo_cause,3,1062.0,158.7671250605742,0.06863568797259743,0.010260914176990503
RC-Fusion,RC-Fusion,tv,non_pair,emo_context,3,1114.0,352.6598928145927,0.07199638079234795,0.02279195326146143
RC-Fusion,RC-Fusion,tv,non_pair,non_pair,3,13297.0,509.03732672565377,0.8593679312350546,0.03289842478676753
RW-Fusion,RW-Fusion,ta,emo_cause,emo_cause,3,786.0,33.45145736735546,0.43812709030100333,0.018646297306218203
RW-Fusion,RW-Fusion,ta,emo_cause,emo_context,3,170.0,34.39476704383968,0.09476031215161651,0.01917211094974341
RW-Fusion,RW-Fusion,ta,emo_cause,non_pair,3,838.0,28.160255680657446,0.46711259754738016,0.015696909520990735
RW-Fusion,RW-Fusion,ta,emo_context,emo_cause,3,92.33333333333333,21.733231083604053,0.09261116683383484,0.021798626964497542
RW-Fusion,RW-Fusion,ta,emo_context,emo_context,3,193.33333333333334,42.027768598074935,0.19391507856904044,0.04215423129195077
RW-Fusion,RW-Fusion,ta,emo_context,non_pair,3,711.3333333333334,34.77547028198659,0.7134737545971248,0.034880110613828084
RW-Fusion,RW-Fusion,ta,non_pair,emo_cause,3,1129.6666666666667,129.66238210573385,0.07300889721881126,0.00837991224104788
RW-Fusion,RW-Fusion,ta,non_pair,emo_context,3,991.0,231.55129021450085,0.06404704969947651,0.014964860738997013
