model_order,model_label,modality,seed,strategy_order,strategy,strategy_label,coverage_type,description,coverage_n,coverage_rate,source_pair_support,source_non_pair_support,pred_context_count,pred_context_rate,f1,precision,recall,accuracy,delta_f1_vs_original,tp,fp,fn,tn,binary_run,three_class_run
0,RoBERTa,T,42,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.36809414841451454,0.4588427057864711,0.30731441048034935,0.8941633815155497,0.0,563,664,1269,15768,RoBERTa_source_binary_seed42,
0,RoBERTa,T,42,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,16969,0.929095488392466,1645,15324,1295,0.07090451160753394,0.4134802333117304,0.44274809160305345,0.3878419452887538,0.8933349048264483,0.04538608489721585,638,803,1007,14521,RoBERTa_source_binary_seed42,RoBERTa_seed42
0,RoBERTa,T,42,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,1295,0.07090451160753394,0.36120840630472856,0.30153508771929827,0.45032751091703055,0.8402321506789312,-0.006885742109785986,825,1911,1007,14521,RoBERTa_source_binary_seed42,RoBERTa_seed42
0,RoBERTa,T,42,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,1295,0.07090451160753394,0.3898564008554843,0.44274809160305345,0.3482532751091703,0.8906592203241349,0.021762252440969743,638,803,1194,15629,RoBERTa_source_binary_seed42,RoBERTa_seed42
0,RoBERTa,T,123,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.3908335431881138,0.3627863487611033,0.42358078602620086,0.8675536574682435,0.0,776,1363,1056,15069,RoBERTa_source_binary_seed123,
0,RoBERTa,T,123,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,17263,0.9451927288655279,1682,15581,1001,0.05480727113447219,0.4065590838105153,0.36157407407407405,0.4643281807372176,0.8679256212709262,0.0157255406224015,781,1379,901,14202,RoBERTa_source_binary_seed123,RoBERTa_seed123
0,RoBERTa,T,123,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,1001,0.05480727113447219,0.3729220909272982,0.2945270484024043,0.5081877729257642,0.8285698642137538,-0.017911452260815586,931,2230,901,14202,RoBERTa_source_binary_seed123,RoBERTa_seed123
0,RoBERTa,T,123,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,1001,0.05480727113447219,0.3912825651302605,0.36157407407407405,0.42631004366812225,0.8669513797634691,0.0004490219421466879,781,1379,1051,15053,RoBERTa_source_binary_seed123,RoBERTa_seed123
0,RoBERTa,T,456,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.36893203883495146,0.4327700220426157,0.3215065502183406,0.8896736749890495,0.0,589,772,1243,15660,RoBERTa_source_binary_seed456,
0,RoBERTa,T,456,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,17208,0.9421813403416557,1683,15525,1056,0.05781865965834428,0.4060721062618596,0.37337986041874377,0.44503862150920975,0.87267549976755,0.03714006742690812,749,1257,934,14268,RoBERTa_source_binary_seed456,RoBERTa_seed456
0,RoBERTa,T,456,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,1056,0.05781865965834428,0.36697997548017985,0.29327237099934683,0.490174672489083,0.8303766973280771,-0.0019520633547716049,898,2164,934,14268,RoBERTa_source_binary_seed456,RoBERTa_seed456
0,RoBERTa,T,456,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,1056,0.05781865965834428,0.3903074517978113,0.37337986041874377,0.4088427947598253,0.8718791064388962,0.02137541296285983,749,1257,1083,15175,RoBERTa_source_binary_seed456,RoBERTa_seed456
1,WavLM,A,42,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.28022922636103154,0.29493365500603136,0.26692139737991266,0.8624616732369689,0.0,489,1169,1343,15263,WavLM_source_binary_seed42,
1,WavLM,A,42,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,18159,0.9942509855453351,1821,16338,105,0.005749014454664914,0.27388535031847133,0.2896509491733007,0.25974739154310816,0.8618866677680489,-0.006343876042560204,473,1160,1348,15178,WavLM_source_binary_seed42,WavLM_seed42
1,WavLM,A,42,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,105,0.005749014454664914,0.2711484593837534,0.27848101265822783,0.26419213973799127,0.8575339465615418,-0.00908076697727811,484,1254,1348,15178,WavLM_source_binary_seed42,WavLM_seed42
1,WavLM,A,42,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,105,0.005749014454664914,0.27301587301587305,0.2896509491733007,0.25818777292576417,0.8620784056066579,-0.007213353345158491,473,1160,1359,15272,WavLM_source_binary_seed42,WavLM_seed42
1,WavLM,A,123,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.2853780523683436,0.30950861518825784,0.26473799126637554,0.867006132282085,0.0,485,1082,1347,15350,WavLM_source_binary_seed123,
1,WavLM,A,123,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,18149,0.9937034603591766,1816,16333,115,0.006296539640823478,0.2798474625990026,0.2994350282485876,0.2626651982378855,0.8647308391646923,-0.00553058976934101,477,1116,1339,15217,WavLM_source_binary_seed123,WavLM_seed123
1,WavLM,A,123,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,115,0.006296539640823478,0.2785310734463277,0.2886416861826698,0.2691048034934498,0.8601620674551029,-0.006846978922015912,493,1215,1339,15217,WavLM_source_binary_seed123,WavLM_seed123
1,WavLM,A,123,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,115,0.006296539640823478,0.27854014598540144,0.2994350282485876,0.2603711790393013,0.8647065265002191,-0.006837906382942183,477,1116,1355,15316,WavLM_source_binary_seed123,WavLM_seed123
1,WavLM,A,456,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.28165456267761285,0.3340823970037453,0.24344978165938866,0.8754380201489268,0.0,446,889,1386,15543,WavLM_source_binary_seed456,
1,WavLM,A,456,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,18192,0.9960578186596584,1824,16368,72,0.003942181340341655,0.27642752562225475,0.29666876178504087,0.25877192982456143,0.8641710642040458,-0.005227037055358097,472,1119,1352,15249,WavLM_source_binary_seed456,WavLM_seed456
1,WavLM,A,456,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,72,0.003942181340341655,0.27467811158798283,0.28863499699338546,0.26200873362445415,0.8612023653088042,-0.00697645108963002,480,1183,1352,15249,WavLM_source_binary_seed456,WavLM_seed456
