model_order,model_label,modality,strategy_order,strategy,strategy_label,coverage_type,runs,coverage_n_mean,coverage_n_std,coverage_rate_mean,coverage_rate_std,source_pair_support_mean,source_pair_support_std,source_non_pair_support_mean,source_non_pair_support_std,pred_context_count_mean,pred_context_count_std,pred_context_rate_mean,pred_context_rate_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,delta_f1_vs_original_mean,delta_f1_vs_original_std
0,RoBERTa,T,0,original_binary_trained,Original binary trained,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,0.0,0.0,0.0,0.0,0.3759532434791933,0.010527519640119111,0.4181330255300633,0.040557672364404586,0.3508005822416303,0.05178849778846254,0.8837969046576143,0.011631041100284893,0.0,0.0
0,RoBERTa,T,1,drop_context,Drop context,partial,3,17146.666666666668,127.62009594452157,0.9388231858665499,0.006987521678959806,1670.0,17.682382946499793,15476.666666666666,110.3459207321332,1117.3333333333333,127.62009594452157,0.061176814133450136,0.006987521678959785,0.4087038077947018,0.003383289062733223,0.3925673420319571,0.03580898275053168,0.4324029158450604,0.03247852466366785,0.8779786752883082,0.01103028182336268,0.03275056431550849,0.012500340657845978
0,RoBERTa,T,2,context_to_positive,Context -> pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,1117.3333333333333,127.62009594452157,0.061176814133450136,0.006987521678959785,0.36703682423740225,0.004782260671492409,0.29644483570701646,0.003635615766995551,0.48289665211062593,0.024175465047602214,0.833059570740254,0.005125139914076466,-0.00891641924179106,0.006671744438272306
0,RoBERTa,T,3,context_to_negative,Context -> non-pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,1117.3333333333333,127.62009594452157,0.061176814133450136,0.006987521678959785,0.3904821392611854,0.0005951878790527898,0.3925673420319571,0.03580898275053168,0.39446870451237265,0.03344822498825992,0.8764965688421668,0.010214569506239606,0.014528895781992087,0.009957226745934439
1,WavLM,A,0,original_binary_trained,Original binary trained,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,0.0,0.0,0.0,0.0,0.2824206138023293,0.0021706724085181358,0.3128415557326782,0.01615523381663816,0.25836972343522563,0.01058758116883271,0.8683019418893269,0.005376227717060558,0.0,0.0
1,WavLM,A,1,drop_context,Drop context,partial,3,18166.666666666668,18.372685039360892,0.9946707548547233,0.0010059507796408706,1820.3333333333333,3.299831645537222,16346.333333333334,15.456030825826174,97.33333333333333,18.372685039360892,0.005329245145276683,0.0010059507796408725,0.2767201128465762,0.0024427991013442757,0.29525157973564303,0.004118118871419995,0.26039483986851836,0.001654040857033472,0.863596190378929,0.0012302269897528145,-0.005700500955753103,0.00047151153346419196
1,WavLM,A,2,context_to_positive,Context -> pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,97.33333333333333,18.372685039360892,0.005329245145276683,0.0010059507796408725,0.274785881472688,0.0030149028022217602,0.28525256527809434,0.004788211555409055,0.2651018922852984,0.0029675230040575136,0.859632793108483,0.0015436801324128174,-0.007634732329641347,0.001023866173602506
1,WavLM,A,3,context_to_negative,Context -> non-pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,97.33333333333333,18.372685039360892,0.005329245145276683,0.0010059507796408725,0.27577916574558015,0.0022552755886546894,0.29525157973564303,0.004118118871419995,0.2587336244541485,0.0011791740717627096,0.8636844794860563,0.0011496580338752828,-0.0066414480567491925,0.0005645216786760776
2,CLIP,V,0,original_binary_trained,Original binary trained,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,0.0,0.0,0.0,0.0,0.16434101495211395,0.009390923582248715,0.1150025714311419,0.015289483473011,0.37427219796215433,0.14680350740628387,0.6273178566214046,0.13003222768444228,0.0,0.0
2,CLIP,V,1,drop_context,Drop context,partial,3,16759.666666666668,1337.7845699347693,0.9176339611622134,0.0732470745693588,1690.3333333333333,106.55306450569854,15069.333333333334,1231.3478613111552,1504.3333333333333,1337.7845699347693,0.08236603883778654,0.0732470745693588,0.1905883000183863,0.006164016245403189,0.11915977693672024,0.005874804972927656,0.4811277766320232,0.038973239520723964,0.5866430119475377,0.03935548477593336,0.026247285066272368,0.015306213080197242
2,CLIP,V,2,context_to_positive,Context -> pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,1504.3333333333333,1337.7845699347693,0.08236603883778654,0.0732470745693588,0.18708773316611851,0.0014504569664174245,0.11415683412527138,0.0029570268204905585,0.522197962154294,0.03706792308077684,0.544477295955614,0.0363816467071955,0.022746718214004563,0.00815273483992776
2,CLIP,V,3,context_to_negative,Context -> non-pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,1504.3333333333333,1337.7845699347693,0.08236603883778654,0.0732470745693588,0.1870905726666565,0.003266105104817128,0.11915977693672024,0.005874804972927656,0.44486899563318777,0.05543193267716912,0.6113301211855745,0.05495002581984637,0.02274955771454253,0.012525820949530064
3,RW-Fusion,T+A,0,original_binary_trained,Original binary trained,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,0.0,0.0,0.0,0.0,0.378557699364154,0.006849587716881996,0.40065602494813796,0.012093088165438281,0.360080058224163,0.020972509510071045,0.8815520513943641,0.0035990729609997126,0.0,0.0
3,RW-Fusion,T+A,1,drop_context,Drop context,partial,3,16909.666666666668,244.01411616725966,0.925846838954592,0.013360387437979617,1666.3333333333333,18.80307303489394,15243.333333333334,225.90017461013372,1354.3333333333333,244.01411616725963,0.07415316104540808,0.01336038743797961,0.41946149257978166,0.011792664303005908,0.3847300617704521,0.02000421672037711,0.46200622295512805,0.011223638654925523,0.8738399863175742,0.0060258581519755895,0.040903793215627614,0.005074890972091233
3,RW-Fusion,T+A,2,context_to_positive,Context -> pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,1354.3333333333333,244.01411616725963,0.07415316104540808,0.01336038743797961,0.3605751313359282,0.013376553940781313,0.27878944625638236,0.014006679829735419,0.5107350800582241,0.007672186551058241,0.8180573806395094,0.008063443153891821,-0.01798256802822586,0.01203198526310687
3,RW-Fusion,T+A,3,context_to_negative,Context -> non-pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,1354.3333333333333,244.01411616725963,0.07415316104540808,0.01336038743797961,0.4012172632543287,0.009785058019334271,0.3847300617704521,0.02000421672037711,0.4203056768558952,0.013959292415441514,0.8740692071835304,0.005869170347321834,0.022659563890174705,0.0030353021012951035
4,RC-Fusion,T+V,0,original_binary_trained,Original binary trained,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,0.0,0.0,0.0,0.0,0.3706709481452075,0.002756782472636001,0.38362369336628105,0.012195199698816658,0.35953420669577874,0.01541540726344623,0.8775916192144839,0.0038696084025752328,0.0,0.0
4,RC-Fusion,T+V,1,drop_context,Drop context,partial,3,16726.333333333332,370.59351796214077,0.9158088772083516,0.020290928491137786,1626.0,33.14614105241614,15100.333333333334,346.57306428643426,1537.6666666666667,370.59351796214077,0.08419112279164842,0.020290928491137797,0.42197556150636545,0.0068958386817088374,0.39289630644342427,0.02086971775782197,0.4580972015936123,0.022412215368807158,0.877861453244425,0.008136705130727066,0.05130461336115796,0.00760308472466626
4,RC-Fusion,T+V,2,context_to_positive,Context -> pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,1537.6666666666667,370.59351796214077,0.08419112279164842,0.020290928491137797,0.3624936852759453,0.019238451347146822,0.28087461255291674,0.030255764672853062,0.5189228529839883,0.024306572361057904,0.8153927580668711,0.023876172115321538,-0.008177262869262217,0.021829478586316852
4,RC-Fusion,T+V,3,context_to_negative,Context -> non-pair,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,1537.6666666666667,370.59351796214077,0.08419112279164842,0.020290928491137797,0.3987740529101611,0.009911394182239106,0.39289630644342427,0.02086971775782197,0.40647743813682674,0.01950013786982364,0.8770258431887866,0.006129022139987167,0.028103104764953573,0.010406665989648367
5,RWC-Fusion,T+A+V,0,original_binary_trained,Original binary trained,full,3,18264.0,0.0,1.0,0.0,1832.0,0.0,16432.0,0.0,0.0,0.0,0.0,0.0,0.37607571795558514,0.002213887187188052,0.37962681817013816,0.03088605469771808,0.3773653566229986,0.029604863172906226,0.8743064680975324,0.011064645790467053,0.0,0.0
