panel,source,metric,role_or_subset,value,n,model_source
matched_pair_contrast,binary_source,prob_pair,emo_context,0.110641180949988,,RWC-Fusion
matched_pair_contrast,binary_source,prob_pair,matched_non_pair,0.0903900245566242,,RWC-Fusion
matched_pair_contrast,binary_source,context_minus_matched_non_pair,delta,0.0202511563933637,,RWC-Fusion
matched_pair_contrast,three_class,prob_emo_context,emo_context,0.2486376190942867,,RWC-Fusion
matched_pair_contrast,three_class,prob_emo_context,matched_non_pair,0.1997285653852825,,RWC-Fusion
matched_pair_contrast,three_class,context_minus_matched_non_pair,delta,0.0489090537090041,,RWC-Fusion
evidence_removal,binary,delta_prob_pair,emo_cause,0.3721710334829128,,RWC-Fusion
evidence_removal,binary,delta_prob_pair,emo_context,0.0851678781868489,,RWC-Fusion
evidence_removal,binary,delta_prob_pair,non_pair,0.057879660484408,,RWC-Fusion
evidence_removal,three_class,delta_prob_context,emo_cause,0.0651900111746228,,RWC-Fusion
evidence_removal,three_class,delta_prob_context,emo_context,0.1546005490831489,,RWC-Fusion
evidence_removal,three_class,delta_prob_context,non_pair,0.0527096135737463,,RWC-Fusion
shortcut_conflict_stress_set,binary_source,prob_pair,local_lexical_non_pair,0.2999298368775062,1489.0,RWC-Fusion
shortcut_conflict_stress_set,binary_source,pred_pair_rate,local_lexical_non_pair,0.2937094246698008,1489.0,RWC-Fusion
shortcut_conflict_stress_set,binary_source,prob_pair,long_distance_emo_cause,0.1468888712133511,92.0,RWC-Fusion
shortcut_conflict_stress_set,binary_source,pred_pair_rate,long_distance_emo_cause,0.1159420289855072,92.0,RWC-Fusion
shortcut_conflict_stress_set,binary_source,prob_pair,source_nonpair_emo_context,0.1188305324253828,854.0,RWC-Fusion
shortcut_conflict_stress_set,binary_source,pred_pair_rate,source_nonpair_emo_context,0.0866510538641686,854.0,RWC-Fusion
